user	shortcode	posttype	imgname	randomid
thisiszerohour	B3e6s83HLo4	GraphImage	2019-10-11_15-33-05_UTC.jpg	0
thisiszerohour	BldHH3wBdS0	GraphImage	2018-07-20_13-18-03_UTC.jpg	1
ipcc	BgPGNJMArtT	GraphImage	2018-03-12_20-03-41_UTC.jpg	2
climatesavemovement	BraJzNCAu3x	GraphImage	2018-12-15_12-52-05_UTC.jpg	3
climatesavemovement	BgcY8jphezR	GraphImage	2018-03-17_23-57-35_UTC.jpg	4
cnnclimate	B7rnZlhFLq_	GraphImage	2020-01-24_00-00-07_UTC.jpg	5
ipcc	BSvY_y7A12A	GraphImage	2017-04-11_09-44-04_UTC.jpg	6
everydayclimatechange	Bzi8RtFF9gO	GraphImage	2019-07-05_18-58-14_UTC.jpg	7
thisiszerohour	BzHmjLLH4kO	GraphSidecar	2019-06-25_04-08-53_UTC_2.jpg	8
thisiszerohour	B3kVMEjnjRs	GraphSidecar	2019-10-13_18-00-44_UTC_1.jpg	9
thisiszerohour	BtwdWugHpp4	GraphSidecar	2019-02-11_21-49-02_UTC_2.jpg	10
climemechange	Bu_bIVRHte4	GraphImage	2019-03-14_13-49-36_UTC.jpg	11
thisiszerohour	BmsHjHchTf_	GraphSidecar	2018-08-20_05-41-46_UTC_3.jpg	12
thisiszerohour	Bw2cyp-B-Ch	GraphSidecar	2019-04-29_19-13-44_UTC_4.jpg	13
thisiszerohour	BjOEJDFjBV8	GraphSidecar	2018-05-26_00-00-36_UTC_3.jpg	14
noaaclimate	BpUvodnnwkl	GraphSidecar	2018-10-24_17-24-26_UTC_2.jpg	15
everydayclimatechange	BMSj4VPjMn0	GraphVideo	2016-11-02_01-52-50_UTC.jpg	16
climatesavemovement	Bzse1fFpJXM	GraphSidecar	2019-07-09_11-53-23_UTC_3.jpg	17
thisiszerohour	BhkDoshBd0y	GraphSidecar	2018-04-14_19-56-41_UTC_1.jpg	18
everydayclimatechange	ByA83fMF4dE	GraphSidecar	2019-05-28_17-37-49_UTC_3.jpg	19
climemechange	B03Zc2uHHyQ	GraphImage	2019-08-07_14-09-22_UTC.jpg	20
climatereality	BDCQr3Iqp2y	GraphImage	2016-03-17_01-14-42_UTC.jpg	21
thisiszerohour	Bi5y1e-DF6H	GraphSidecar	2018-05-18_03-04-34_UTC_4.jpg	22
cnnclimate	B5uu2cDlnQF	GraphImage	2019-12-06_12-00-10_UTC.jpg	23
everydayclimatechange	BmGMdM5nOmj	GraphImage	2018-08-05_12-13-31_UTC.jpg	24
cnnclimate	ByD0m-dpL7f	GraphImage	2019-05-29_20-23-23_UTC.jpg	25
everydayclimatechange	BHhs1k0D3hT	GraphImage	2016-07-06_16-22-44_UTC.jpg	26
climatesavemovement	BuFGG0BA-K9	GraphSidecar	2019-02-19_22-09-56_UTC_1.jpg	27
climatesavemovement	B3sZ4h1pjdm	GraphSidecar	2019-10-16_21-15-41_UTC_5.jpg	28
thisiszerohour	B4da1KWnc-W	GraphImage	2019-11-04_22-06-44_UTC.jpg	29
nasaclimatechange	4SoEVsOXWH	GraphImage	2015-06-24_00-01-32_UTC.jpg	30
thisiszerohour	BmwSYVhB15V	GraphSidecar	2018-08-21_20-33-23_UTC_6.jpg	31
climatesavemovement	B63iFFopAVU	GraphImage	2020-01-03_18-33-08_UTC.jpg	32
climatesavemovement	BuKIqQZgSbT	GraphSidecar	2019-02-21_21-08-27_UTC_3.jpg	33
ipcc	BjZk3lOjh63	GraphImage	2018-05-30_11-18-13_UTC.jpg	34
